symbol,name,type
KEBLPO,Kabeli BIkas Bank Ltd. Promoter Share,promoter
KEF,Kumari Equity Fund,fund
KHPL,Kalinchock Hydropower Limited,equity
KKHC,Khanikhola Hydropower Co. Ltd.,equity
KLBS,Khaptad Laghubitta Bittiya Sanstha Limited,equity
KLBSL,Kisan Lagubitta Bittiya Sanstha Limited,equity
KMCDB,Kalika Microcredit Development Bank Ltd.,equity
KMCDBP,Kalika Microcredit Development Bank Ltd. Promoter Share,promoter
KMFL,Kisan Microfinance Bittiya Sanstha Ltd.,equity
KMFLPO,Kisan Microfinance Bittiya Sanstha Ltd. Promoter Share,promoter
KNBL,Kankai Bikas Bank Ltd.,equity
KNBLPO,Kankai Bikas Bank Ltd. Promoter Share,promoter
KPCL,Kalika power Company Ltd,equity
KRBL,Karnali Development Bank Limited,equity
KRBLPO,Karnali Development Bank Limited Promoter Share,promoter
KSBBL,Kamana Sewa Bikas Bank Limited,equity
KSBBLD87,9% Kamana Sewa Bikas Bank Limited Debenture 2087,bond
KSBBLP,Kamana Sewa Bikas Bank Limited Promoter Share,promoter
KSBBLPNP,KSBBL 9% Perpetual Non Cumulative Preference Share,bond
KSLY,Kumari Sunaulo Lagani Yojana,fund
KSY,Kumari Sabal Yojana,fund
LBBL,Lumbini Bikas Bank Ltd.,equity
LBBLD89,11% LBBL Debenture 2089,bond
LBBLPO,Lumbini Bikas Bank Ltd. Promoter Share,promoter
LBL,Laxmi Bank Limited,equity
LBLD86,10% Laxmi Bank Debenture 2086,bond
LBLD88,8.5% Laxmi Bank Debenture 2088,bond
LBLPO,Laxmi Bank Limited Promoter Share,promoter
LEC,Liberty Energy Company Limited,equity
LEMF,Laxmi Equity Fund,fund
LFC,Lalitpur Finance Ltd.,equity
LFCPO,Lalitpur Finance Co. Ltd. Promoter Share,promoter
LGIL,Lumbini General Insurance Co. Ltd.,equity
LGILPO,Lumbini General Insurance Co. Ltd. Promoter Share,promoter
LICN,Life Insurance Co. Nepal,equity
LICNPO,Life Insurance Co. Nepal Promoter Share,promoter
LIFEINSU,Life Insurance,index
LLBS,Laxmi Laghubitta Bittiya Sanstha Ltd.,equity
LLBSPO,Laxmi Laghubitta Bittiya Sanstha Ltd. Promoter Share,promoter
LSH12,LS Horizon 12,equity
LSL,Laxmi Sunrise Bank Limited,equity
LSLPO,Laxmi Sunrise Bank Limited Promoter Share,promoter
LUK,Laxmi Unnati Kosh,equity
LVF1,Laxmi Value Fund-1,fund
LVF2,Laxmi Value Fund 2,fund
MABEL,Mabilung Energy Ltd,equity
MAHALAXMI,Mahalaxmi Life Insurance Limited,equity
MAKAR,Makar Jitumaya Suri Hydropower Company Limited,equity
MANDU,Mandu Hydropower Limited,equity
MANUFACTURE,Manufacturing and Processing,index
MATRI,Matribhumi Laghubitta Bittiya Sanstha,equity
MATRIP,Matribhumi Lagubitta Bittiya Sanstha Limited Promoter,promoter
MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,equity
MBL,Machhapuchhre Bank Limited,equity
MBLD2085,10.25% Machhapuchchhre Debenture 2085,bond
MBLD87,Machhapuchchhre Debenture 2087,bond
MBLEF,MBL Equity Fund,fund
MBLPNP,8.25% Machhapuchchhre Perpetual Non-cumulative Preference Share,bond
MBLPO,MachhaPuchhre Bank Limited Promotor Share,promoter
MCHL,Menchhiyam Hydropower Limited,equity
MDB,Miteri Development Bank Limited,equity
MDBLPO,Malika Development Bank Limited Promoter Share,promoter
MDBPO,Miteri Development Bank Ltd. Promoter Share,promoter
MEGA,Mega Bank Nepal Ltd.,equity
MEGAPO,Mega Bank Nepal Ltd. Promoter Share,promoter
MEHL,Manakamana Engineering Hydropower Limited,equity
MEL,Modi Energy Limited,equity
MEN,Mountain Energy Nepal Limited,equity
MEPDL,Mount Everest Power Development Limited,equity
MERO,Mero Microfinance Bittiya Sanstha Ltd.,equity
MEROPO,Mero Microfinance Bittiya Sanstha Ltd. Promoter Share,promoter
METLIFE,Metlife - American Life Insurance Company Limited,equity
MFIL,Manjushree Finance Ltd.,equity
MFILPO,Manjushree Finance Ltd. Promoter Share,promoter
MFLD85,9.5% Manjushree Finance Ltd. Debenture 2085,bond
MHCL,Molung Hydropower Company Limited,equity
MHL,Mandakini Hydropower Limited,equity
MHNL,Mountain Hydro Nepal Limited,equity
MICROFINANCE,Microfinance,index
MKCL,Muktinath Krishi Company Limited,equity
MKHC,Maya Khola Hydropower Company Limited,equity
MKHL,Mai Khola Hydropower Limited,equity
MKJC,Mailung Khola Jal Vidhyut Company Limited,equity
MKLB,Manakamana Smart Laghubitta Bittiya Sanstha Limited,equity
MLBBL,Mithila LaghuBitta Bittiya Sanstha Limited,equity
MLBBLP,Mithila LaghuBitta Bikas Bank Ltd. Promoter Share,promoter
MLBD87,8.50% Machhapuchchhre Debenture 2087,bond
MLBL,Mahalaxmi Bikas Bank Ltd.,equity
MLBLD89,11% Mahalaxmi Debenture-2089,bond
MLBLPO,Mahalxmi Bikas Bank Ltd. Promotor Share,promoter
MLBS,Manushi Laghubitta Bittiya Sanstha Limited,equity
MLBSL,Mahila Laghubitta Bittiya Sanstha Ltd.,equity
MMF1,Mega Mutual Fund 1,fund
MMFDB,Mirmire Microfinance Development Bank Ltd.,equity
MMFDBP,Mirmire Microfinance Development Bank Ltd. Promoter Share,promoter
MMKJL,Mathillo Mailun Khola Jalvidhyut Limited,equity
MNBBL,Muktinath Bikas Bank Ltd.,equity
MNBBLP,Muktinath Bikas Bank Ltd. Promoter Share,promoter
MNMF1,Muktinath Mutual Fund 1,fund
MPFL,Multipurpose Finance Company Limited,equity
MPFLPO,Multipurpose Finance Company Limited Promoter Share,promoter
MSHL,Mid Solu Hydropower Company Limited,equity
MSIP,Machhapuchchhre SIP Yojana,promoter
MSLB,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,equity
MSLBP,Mahuli Laghubitta Bittiya Sanstha Ltd Promoter,promoter
MSMBS,Mahila Sahayatra Microfinance Bittiya Sanstha Ltd.,equity
MSMBSP,Mahila Sahayatra Microfinance Bittiya Sanstha Ltd. Promoter Share,promoter
MUTUAL,Mutual Fund Index,index
NABBC,Narayani Development Bank Limited,equity
NABIL,Nabil Bank Limited,equity
